; ;Nuovo ID;hallow_back;rilegatura_moderna;Colonna1;Collocazione;roman_converted;disambiguatore;numero_del_codice;numerazione_araba;numerazione_romana_alternativa;ulteriore_numerazione_arabaoromana;identificativo_parte;Spagnolo;note;titolo;materiale;datazione_i;datazione_f;lingua;fogli;altezza;ampiezza;rilegatura;tipo_rilegatura;materiale_rilegatura;preferred_manifest_url;color;color_rileg;is_digitized;marker_dim;alpha
651;652;m0629_0;0.0;0.0;29;[I B 1];629;_0;DCXXIX;0;0;0;0;501;0;Muselli m. Giuseppe: Glossarium Bullae;cartaceo;1700.0;1800.0;0;0.0;240.0;165.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
652;653;m0630_0;0.0;0.0;30;[I B 2];630;_0;DCXXX;0;0;0;0;501;0;Muselli m. Giuseppe: Glossarium Bullae;cartaceo;1700.0;1800.0;0;0.0;240.0;165.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
653;654;m0631_0;0.0;0.0;31;[I B 3];631;_0;DCXXXI;0;0;0;0;501;0;Muselli m. Giuseppe: Glossarium Bullae;cartaceo;1700.0;1800.0;0;0.0;240.0;165.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
654;655;m0632_0;0.0;0.0;32;[I B 4];632;_0;DCXXXII;0;0;0;0;501;0;Muselli m. Giuseppe: Glossarium Bullae;cartaceo;1700.0;1800.0;0;0.0;240.0;165.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
655;656;m0633_0;0.0;0.0;33;[I B 5];633;_0;DCXXXIII;0;0;0;0;501;0;Muselli m. Giuseppe: De anniversariis;cartaceo;1700.0;1800.0;0;0.0;240.0;165.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
656;657;m0634_0;0.0;0.0;34;[I B 6];634;_0;DCXXXIV;0;0;0;0;501;0;Muselli m. Giuseppe: De anniversariis;cartaceo;1700.0;1800.0;0;0.0;240.0;165.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
657;658;m0635_0;0.0;0.0;35;[I B 7];635;_0;DCXXXV;0;0;0;0;502-503;0;Muselli Giuseppe: De rebus Capituli veronensi quaedam;cartaceo;1700.0;1800.0;0;0.0;218.0;160.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
658;659;m0636_0;0.0;0.0;36;[I B 8];636;_0;DCXXXVI;0;0;0;0;502-503;0;Muselli Giuseppe: De rebus Capituli veronensi quaedam;cartaceo;1700.0;1800.0;0;0.0;218.0;160.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
659;660;m0637_0;0.0;0.0;37;[I B 9];637;_0;DCXXXVII;0;0;0;0;502-503;0;Muselli Giuseppe: De rebus Capituli veronensi quaedam;cartaceo;1700.0;1800.0;0;0.0;218.0;160.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
660;661;m0638_0;0.0;0.0;0;[I B 10];638;_0;DCXXXVIII;0;0;0;0;503-504;0;Muselli Giuseppe: De canonicis et beneficiatis;cartaceo;1700.0;1800.0;0;129.0;226.0;155.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.129713786582278;0.5
661;662;m0639_0;0.0;0.0;0;[I B 11];639;_0;DCXXXIX;0;0;0;0;503-504;0;Muselli Giuseppe: De canonicis et beneficiatis;cartaceo;1700.0;1800.0;0;160.0;226.0;155.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.343927877800089;0.5
662;663;m0640_0;0.0;0.0;0;[I B 12];640;_0;DCXL;0;0;0;0;503-504;0;Muselli Giuseppe: De canonicis et beneficiatis;cartaceo;1700.0;1800.0;0;147.0;226.0;155.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.2596090221114835;0.5
663;664;m0641_0;0.0;0.0;0;[I B 13];641;_0;DCXLI;0;0;0;0;504;0;Muselli Giuseppe: De sede episcopali vacante;cartaceo;1700.0;1800.0;0;0.0;234.0;175.0;fascicoli;0;0;/;orange;#800000;Non digitalizzato;4.0;0.15
664;665;m0642_0;0.0;0.0;0;[I B 14];642;_0;DCXLII;0;0;0;0;504;0;Muselli Giuseppe: De sede episcopali vacante;cartaceo;1700.0;1800.0;0;0.0;234.0;175.0;fascicoli;0;0;/;orange;#800000;Non digitalizzato;4.0;0.15
665;666;m0643_0;0.0;0.0;0;[I B 15];643;_0;DCXLIII;0;0;0;0;504;0;Muselli Giuseppe: De sede episcopali vacante;cartaceo;1700.0;1800.0;0;0.0;234.0;175.0;fascicoli;0;0;/;orange;#800000;Non digitalizzato;4.0;0.15
666;667;m0644_0;0.0;0.0;0;[I B 16];644;_0;DCXLIV;0;0;0;0;505;0;Muselli arcipr. Giuseppe: Acta in sede episcop. vacante;cartaceo;1700.0;1800.0;0;62.0;131.0;150.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.403410935301662;0.5
667;668;m0645_0;0.0;0.0;0;[I B 17];645;_0;DCXLV;0;0;0;0;505;0;Muselli arcipr. Giuseppe: Acta in sede episcop. vacante;cartaceo;1700.0;1800.0;0;164.0;131.0;150.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.368503969698196;0.5
668;669;m0646_0;0.0;0.0;0;[I B 18];646;_0;DCXLVI;0;0;0;0;505;0;Lippomano m. Luigi: Esposizione del Credo, Pater noster e Precetti della carità;cartaceo;1700.0;1800.0;0;140.0;220.0;150.0;rilegato;mezza pergamena;0;/;orange;#2B9332;Non digitalizzato;5.2110786910007745;0.5
669;670;m0647_0;0.0;0.0;0;[I B 19];647;_0;DCXLVII;0;0;0;0;505;0;Lippomano m. Luigi: Esposizione del Credo, Pater noster e Precetti della carità;cartaceo;1700.0;1800.0;0;135.0;220.0;150.0;rilegato;mezza pergamena;0;/;orange;#2B9332;Non digitalizzato;5.174913092543429;0.5
670;671;m0648_0;0.0;0.0;0;[I B 20];648;_0;DCXLVIII;0;0;0;0;505;0;Lippomano m. Luigi: Esposizione del Credo, Pater noster e Precetti della carità;cartaceo;1700.0;1800.0;0;139.0;220.0;150.0;rilegato;mezza pergamena;0;/;orange;#2B9332;Non digitalizzato;5.203949451006609;0.5
671;672;m0649_0;0.0;0.0;0;[I B 21];649;_0;DCXLIX;0;0;0;0;505-506;0;Muselli m. Giuseppe: Memorie diplomatiche circa il castello di Cerea ed altro;cartaceo;1700.0;1800.0;0;0.0;250.0;167.0;rilegato;fascicoli raccolti in busta;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
672;673;m0650_0;0.0;0.0;0;[I B 22];650;_0;DCL;0;0;0;0;506;0;Masotti Antonio: Memorie di varia erudizione;cartaceo;1700.0;1800.0;0;0.0;0.0;0.0;rilegato;fascicoli raccolti in busta;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
673;674;m0651_0;0.0;0.0;0;[I B 23];651;_0;DCLI;275;DXXII;0;0;507;0;Lettere dei legati del S. Concilio di Trento al card. Borromeo;cartaceo;1500.0;1600.0;0;158.0;279.0;200.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;5.331409563006351;0.5
674;675;m0652_0;0.0;0.0;0;[I B 24];652;_0;DCLII;276;DXXIII;0;0;507;0;Compendio dell'arte di pensare ossia Logica;cartaceo;1600.0;1700.0;0;114.0;260.0;195.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;5.006878245218544;0.5
675;676;m0653_0;0.0;0.0;0;[I B 25];653;_0;DCLIII;0;DXXXIV;0;0;507;0;Alberoni cardin.: Lettera al card. Paolucci;cartaceo;1700.0;1800.0;0;23.0;260.0;190.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.4323056839947714;0.5
676;677;m0654_0;0.0;0.0;0;[I B 26];654;_0;DCLIV;0;0;0;0;508;0;Da Lisca Giov. Battista: Elogio di Dante;cartaceo;1700.0;1800.0;0;30.0;270.0;190.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.6904407346808887;0.5
677;678;m0655_0;0.0;0.0;0;[II B 1];655;_0;DCLV;0;DXLI;0;0;508;0;Aligherii Petro Comento sopra la Divina commedia;cartaceo;1775.0;1800.0;0;247.0;250.0;190.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.776458370290361;0.5
678;679;m0656_0;0.0;0.0;0;[II B 2];656;_0;DCLVI;0;0;0;0;508;0;Scudelini Pietro Paolo: De Incarnatione tractatus;cartaceo;1700.0;1800.0;0;147.0;240.0;130.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.2596090221114835;0.5
679;680;m0657_0;0.0;0.0;0;[II B 3];657;_0;DCLVII;0;0;0;0;509;0;Atti riguardanti la Chiesa di Verona;cartaceo;1700.0;1800.0;0;45.0;258.0;190.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.0875507028006925;0.5
680;681;m0658_0;0.0;0.0;0;[II B 4];658;_0;DCLVIII;0;0;0;0;509;Senza alcuna legatura;Difesa teologica intorno ai funerali dei canonici;cartaceo;1700.0;1800.0;0;99.0;260.0;185.0;fogli sciolti;0;0;/;orange;#FF5733;Non digitalizzato;4.8668130364529105;0.15
681;682;m0659_0;0.0;0.0;0;[II B 5];659;_0;DCLIX;427;DXXXVII;0;0;510;0;Capitolo dei frati: Poema in ottava rima;cartaceo;1700.0;1800.0;0;255.0;240.0;178.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.80823632942123;0.5
682;683;m0660_0;0.0;0.0;0;[II B 6];660;_0;DCLX;0;DCLXX;0;0;510;0;Tre dissertazioni;cartaceo;1700.0;1800.0;0;46.0;245.0;185.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.109164754203355;0.5
683;684;m0661_0;0.0;0.0;0;[II B 7];661;_0;DCLXI;0;DCLXXI;0;0;511;0;Dissertazioni contro l'uso delle deità pagane nella moderna poesia;cartaceo;1700.0;1800.0;0;26.0;240.0;172.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.551172690078933;0.5
684;685;m0662_0;0.0;0.0;0;[II B 8];662;_0;DCLXII;0;DCLXXII-DXXXV;0;0;511;0;Vita della m.r.m. Maria Eletta Emigli da Brescia abbadessa delle Cappuccine di Lonato;cartaceo;1750.0;1800.0;0;146.0;245.0;170.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.252818654601764;0.5
685;686;m0663_0;0.0;0.0;0;[II B 9];663;_0;DCLXIII;0;DCLXXIII-DXL;0;0;512-519;0;Givanni ab. Giuseppe roveretano: Prose e versi;cartaceo;1700.0;1800.0;0;603.0;213.0;175.0;rilegato;mezza pergamena;0;/;orange;#2B9332;Non digitalizzato;6.667155564021425;0.5
686;687;m0664_0;0.0;0.0;0;[II B 10];664;_0;DCLXIV;449;DCLXXIV;0;0;519;0;Serie dei conclavi dal 1276 al 1560. I: da Innocenzo V a Pio IV;cartaceo;1700.0;1800.0;0;387.0;235.0;165.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;6.224372768477104;0.5
687;688;m0665_0;0.0;0.0;0;[II B 11];665;_0;DCLXV;449;DCLXXV;0;0;519;0;Serie dei conclavi dal 1276 al 1560. II: da Pio V a Leone XI;cartaceo;1700.0;1800.0;0;249.0;235.0;165.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.784498032838133;0.5
688;689;m0666_0;0.0;0.0;0;[II B 12];666;_0;DCLXVI;449;DCLXXVI;0;0;519;0;Serie dei conclavi dal 1276 al 1560. III: da Paolo V ad Alessandro VIII;cartaceo;1700.0;1800.0;0;349.0;235.0;165.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;6.121235623388141;0.5
689;690;m0667_0;0.0;0.0;0;[II B 13];667;_0;DCLXVII;449;DCLXXVII;0;0;519;0;Serie dei conclavi dal 1276 al 1560. IV: da Innocenzo XII a Clemente XIII;cartaceo;1700.0;1800.0;0;332.0;235.0;165.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;6.071411096312287;0.5
690;691;m0668_0;0.0;0.0;0;[II B 14];668;_0;DCLXVIII;0;DCLXXVIII;0;0;520;0;Moro don Giovanni: Discorso sopra l'usura;cartaceo;1700.0;1800.0;0;119.0;240.0;175.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.0495220839820005;0.5
691;692;m0669_0;0.0;0.0;0;[II B 15];669;_0;DCLXIX;0;DCLXXIX;0;0;520;0;Becelli Giul. Cesare: La psiche poema;cartaceo;1700.0;1800.0;0;130.0;235.0;173.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.137390306608239;0.5
692;693;m0670_0;0.0;0.0;0;[II B 16];670;_0;DCLXX;0;DCLXXX;0;0;521;0;Canobbio Alessandro: Storia della Madonna di Campagna;cartaceo;1700.0;1800.0;0;27.0;227.0;180.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.58784982439395;0.5
693;694;m0671_0;0.0;0.0;0;[II B 17];671;_0;DCLXXI;0;DCLXXXI;0;0;521;0;Costituzioni per il ven. Seminario di Verona;cartaceo;1750.0;1800.0;0;52.0;236.0;172.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.229870492211653;0.5
694;695;m0672_0;0.0;0.0;0;[II B 18];672;_0;DCLXXII;0;DCLXXXII;0;0;521;0;Corpus philosophicus;cartaceo;1700.0;1800.0;0;421.0;228.0;170.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;6.308420945662196;0.5
695;696;m0673_0;0.0;0.0;0;[II B 19];673;_0;DCLXXIII;0;DCLXXXIII;0;0;522;0;Lectiones canonicae;cartaceo;1700.0;1800.0;0;199.0;223.0;167.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.56112223906175;0.5
696;697;m0674_0;0.0;0.0;0;[II B 20];674;_0;DCLXXIV;0;DCLXXXIV;0;0;522;0;Cursus theologicus;cartaceo;1700.0;1800.0;0;215.0;224.0;167.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.638169302213635;0.5
697;698;m0675_0;0.0;0.0;0;[II B 21];675;_0;DCLXXV;0;DCLXXXV;0;0;522;0;Zini Petri Francisci Versiones quorundam S. Ephrem;cartaceo;1700.0;1800.0;0;130.0;219.0;150.0;rilegato;mezza pergamena;0;/;orange;#2B9332;Non digitalizzato;5.137390306608239;0.5
698;699;m0676_0;0.0;0.0;0;[II B 22];676;_0;DCLXXVI;0;DCLXXXVI;0;0;523;0;Zini Petri Francisci Versio Sancti Ioannis Damasceni;cartaceo;1700.0;1800.0;0;121.0;219.0;150.0;rilegato;mezza pergamena;0;/;orange;#2B9332;Non digitalizzato;5.0660831408118305;0.5
699;700;m0677_0;0.0;0.0;0;[II B 23];677;_0;DCLXXVII;0;DCLXXXVII;0;0;523;0;Tavole cronologiche delle monarchie del mondo;cartaceo;1700.0;1800.0;0;144.0;222.0;155.0;rilegato;mezza pergamena;0;/;orange;#2B9332;Non digitalizzato;5.2390980068880655;0.5
700;701;m0678_0;0.0;0.0;0;[II B 24];678;_0;DCLXXVIII;0;DCLXXXVIII;0;0;524;0;Indice dei monarchi del mondo;cartaceo;1700.0;1800.0;0;87.0;219.0;150.0;rilegato;mezza pergamena;0;/;orange;#2B9332;Non digitalizzato;4.738662515349655;0.5
701;702;m0679_0;0.0;0.0;0;[II B 25];679;_0;DCLXXIX;0;DCLXXXIX;0;0;524;0;Bertoldi Pauli In quatuor institutionum libros commentarius;cartaceo;1650.0;1700.0;0;360.0;225.0;157.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;6.152200638293575;0.5
702;703;m0680_0;0.0;0.0;0;[II B 26];680;_0;DCLXXX;0;DCXC;0;0;524;0;Da Lisca cav. Gio. B.: Vita del co. Francesco Montanari;cartaceo;1800.0;1800.0;0;13.0;217.0;141.0;rilegato;pelle;0;/;orange;#2B9332;Non digitalizzato;2.8863126047437033;0.5
703;704;m0681_0;0.0;0.0;0;[II B 27];681;_0;DCLXXXI;0;DCXCI-DXXI;0;0;525;0;Lettere e discorsi sugli avvenimenti d'Italia nel principio del sec. XVII;cartaceo;1600.0;1700.0;0;192.0;231.0;153.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.5254529391317835;0.5
704;705;m0682_0;0.0;0.0;0;[II B 28];682;_0;DCLXXXII;0;DCXCII;0;0;526;0;Leoni Octavii Liberculus visitationis ecclesiarum;cartaceo;1700.0;1800.0;0;110.0;207.0;146.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.971403469770134;0.5
705;706;m0683_0;0.0;0.0;0;[II B 29];683;_0;DCLXXXIII;0;DCXCIII-DXX;0;0;526;0;Rimedi per le piaghe del capo etc.;membranaceo;1400.0;1500.0;0;29.0;250.0;163.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;3.657399536878786;0.5
706;707;m0684_0;0.0;0.0;0;[II B 30];684;_0;DCLXXXIV;0;DCXCIX;0;0;527-528;0;Miscellanea;membranaceo;1300.0;1400.0;0;84.0;247.0;171.0;rilegato;assi coperte di pelle rossa;0;/;blue;#2B9332;Non digitalizzato;4.703883658924124;0.5
707;708;m0685_0;0.0;0.0;0;[II B 31];685;_0;DCLXXXV;0;DCXCV;0;0;528;0;Excerpta ex diversis auctoribus;cartaceo;1500.0;1600.0;0;76.0;219.0;156.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.604753432491749;0.5
708;709;m0686_0;0.0;0.0;0;[II B 32];686;_0;DCLXXXVI;0;DCXCVI;0;0;528-529;0;Angeliloquium et Expositio virtutum psalmorum div. Hieronymi;cartaceo;1500.0;1600.0;0;120.0;222.0;150.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.05783689558055;0.5
709;710;m0687_0;0.0;0.0;0;[II B 33];687;_0;DCLXXXVII;0;DCXCVII;0;0;529;0;De Imola Ioannes abb. S. Mariae: Virtutes psalmorum;cartaceo;1400.0;1500.0;0;35.0;222.0;162.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.8410191847661443;0.5
710;711;m0688_0;0.0;0.0;0;[II B 34];688;_0;DCLXXXVIII;0;DCXCVIII;0;0;529;0;Virtutes psalmorum;cartaceo;1500.0;1600.0;0;92.0;210.0;160.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.79406729857371;0.5
711;712;m0689_0;0.0;0.0;0;[II B 35];689;_0;DCLXXXIX;0;DCXCIX;0;0;530;0;P. Ovidi Nasonis Epistolae;membranaceo;1500.0;1600.0;0;58.0;220.0;155.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.337563034911776;0.5
712;713;m0690_0;0.0;0.0;0;[VII A 1];690;_0;DCXC;350;DCC;0;0;530;0;Hymni, Preces, Antiphonae cum notis musicis;cartaceo;1500.0;1600.0;0;86.0;210.0;153.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.72720343593317;0.5
713;714;m0691_0;0.0;0.0;0;[VII A 2];691;_0;DCXCI;0;DCCI;0;0;531;0;Rezani Augustini De canonico poenitenziario;cartaceo;1625.0;1700.0;0;5.0;218.0;160.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;2.0162909458171128;0.5
714;715;m0692_0;0.0;0.0;0;[VII A 3];692;_0;DCXCII;749;DCCII;0;0;531;0;Boetii Severini Aritmetica;cartaceo;1100.0;1200.0;0;56.0;207.0;145.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.302938332521579;0.5
715;716;m0693_0;0.0;0.0;0;[VII A 4];693;_0;DCXCIII;0;DCCIII;0;0;532;0;Mathaei datiarii Protocolum;cartaceo;1425.0;1500.0;0;57.0;215.0;150.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.320400534983345;0.5
716;717;m0694_0;0.0;0.0;0;[VII A 5];694;_0;DCXCIV;0;DCCIV;0;0;532;0;Artis notariae praecepta;cartaceo;1500.0;1600.0;0;183.0;210.0;154.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;5.477639638313397;0.5
717;718;m0695_0;0.0;0.0;0;[VII A 6];695;_0;DCXCV;0;DCCV;0;0;532;0;Horatius Fl.: Epistolae et Sermones;membranaceo;1450.0;1500.0;0;54.0;200.0;110.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.267071627622294;0.5
718;719;m0696_0;0.0;0.0;0;[VII A 7];696;_0;DCXCVI;0;DCCVI-DXXV;0;0;533;0;Da Sessa Galeazzo Florimonte: Sopra l'Etica di Aristotile;cartaceo;1600.0;1700.0;0;203.0;203.0;146.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;5.580947637611657;0.5
719;720;m0697_0;0.0;0.0;0;[VII A 8];697;_0;DCXCVII;0;DCCVII;0;0;533;0;Panigarola: Discorsi;cartaceo;1600.0;1700.0;0;215.0;200.0;150.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;5.638169302213635;0.5
720;721;m0698_0;0.0;0.0;0;[VII A 9];698;_0;DCXCVIII;0;DCCVIII;0;0;534;0;Pauli Pergulensis Logica;membranaceo;1475.0;1500.0;0;42.0;190.0;132.0;rilegato;pelle con impressioni;0;/;blue;#2B9332;Non digitalizzato;4.019755705231028;0.5
721;722;m0699_0;0.0;0.0;0;[VII A 10];699;_0;DCXCIX;0;DCCIX;0;0;534;0;Xenophontis Libellus;cartaceo;1400.0;1500.0;0;16.0;195.0;143.0;rilegato;cartone;0;/;orange;#2B9332;Non digitalizzato;3.0834378539730967;0.5
722;723;m0700_0;0.0;0.0;0;[VII A 11];700;_0;DCC;0;DCCX;0;0;534;0;Trattato di medicina;cartaceo;1400.0;1500.0;0;16.0;195.0;137.0;rilegato;cartone;0;/;orange;#2B9332;Non digitalizzato;3.0834378539730967;0.5
723;724;m0701_0;0.0;0.0;0;[VII A 12];701;_0;DCCI;0;DCCXI;0;0;535;0;Ordini per un novizzo della Compagnia di Monte Berico;cartaceo;1700.0;1800.0;0;16.0;212.0;155.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.0834378539730967;0.5
724;725;m0702_0;0.0;0.0;0;[VII A 13];702;_0;DCCII;0;DCCXII;0;0;535;0;Tariffa de ducati venetiani in oro tradotti in ducati correnti;cartaceo;1500.0;1600.0;0;28.0;218.0;75.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;3.6232292041236747;0.5
725;726;m0703_0;0.0;0.0;0;[VII A 14];703;_0;DCCIII;0;DCCXIII;0;0;535-536;0;Fides baptismi Caroli Edoardi filli Iacobi III Britanniae regis;membranaceo;1700.0;1700.0;0;3.0;222.0;160.0;rilegato;cartoncino coperto di seta rossa;0;/;blue;#2B9332;Non digitalizzato;1.5905099025485816;0.5
726;727;m0704_0;0.0;0.0;0;[VII A 15];704;_0;DCCIV;0;DCCXIV;0;0;536;0;Sortes sanctorum;cartaceo;1500.0;1600.0;0;16.0;250.0;180.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;3.0834378539730967;0.5
727;728;m0705_0;0.0;0.0;0;[VII A 16];705;_0;DCCV;0;DCCXV;0;0;537;0;Muselli m. Giuseppe: Vite del ma. Bonifacio e della co. Matilda sua figlia;cartaceo;1700.0;1800.0;0;25.0;243.0;180.0;rilegato;cartoncino coperto di seta rossa;0;/;orange;#2B9332;Non digitalizzato;3.5130989578633627;0.5
728;729;m0706_0;0.0;0.0;0;[VII A 17];706;_0;DCCVI;0;DCCXVI;0;0;537;0;Decreta liturgica;cartaceo;1700.0;1800.0;0;0.0;237.0;170.0;fogli sciolti;fogli separati raccolti in due cartoncini;0;/;orange;#FF5733;Non digitalizzato;4.0;0.15
729;730;m0707_0;0.0;0.0;0;[VII A 18];707;_0;DCCVII;361;DCCXVII;DXXVII;0;537;0;Lampugnani Alessandro: Trattati di geometria pratica;cartaceo;1675.0;1700.0;0;94.0;210.0;155.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.815397345369075;0.5
730;731;m0708_0;0.0;0.0;0;[VII A 19];708;_0;DCCVIII;381;DCCCXVIII;DXXVII;0;538;0;Lampugnani Alessandro: Della sfera materiale mondiale;cartaceo;1600.0;1700.0;0;153.0;207.0;152.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.299410518839295;0.5
731;732;m0709_0;0.0;0.0;0;[VII A 20];709;_0;DCCIX;370;DCCXIX;0;0;538;0;Lampugnani Alessandro: Ristretto di nautica;cartaceo;1600.0;1700.0;0;62.0;210.0;152.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.403410935301662;0.5
732;733;m0710_0;0.0;0.0;0;[VII A 21];710;_0;DCCX;359;DCCXX;DXXIX;0;538;0;Lampugnani Alessandro: Epitome geometricum;cartaceo;1600.0;1700.0;0;74.0;206.0;154.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.5783555317925355;0.5
733;734;m0711_0;0.0;0.0;0;[VII A 22];711;_0;DCCXI;360;DCCXXI;DXXX;0;539;0;Lampugnani Alessandro: Optica;cartaceo;1600.0;1700.0;0;94.0;202.0;155.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.815397345369075;0.5
734;735;m0712_0;0.0;0.0;0;[VII A 23];712;_0;DCCXII;375;DCCXXII;DXXXI;0;539;0;Lampugnani Alessandro: Compendio delle regole di blasone;cartaceo;1600.0;1700.0;0;126.0;210.0;153.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;5.106324190057351;0.5
735;736;m0713_0;0.0;0.0;0;[VII A 24];713;_0;DCCXIII;446;DCCXXIII;0;0;539;0;Lampugnani Alessandro: Astrologia;cartaceo;1675.0;1700.0;0;112.0;203.0;143.0;rilegato;pelle;0;/;orange;#2B9332;Non digitalizzato;4.9892981567081245;0.5
736;737;m0714_0;0.0;0.0;0;[VII A 25];714;_0;DCCXIV;0;DCCXXIV;0;0;540;0;Trattenimento filosofico sopra il linguaggio delle bestie;cartaceo;1700.0;1800.0;0;73.0;195.0;142.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.564890579071305;0.5
737;738;m0715_0;0.0;0.0;0;[VII A 26];715;_0;DCCXV;417;DCCXXV;0;0;540;0;Instituta iuris civilis;cartaceo;1700.0;1800.0;0;94.0;201.0;145.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.815397345369075;0.5
738;739;m0716_0;0.0;0.0;0;[VII A 27];716;_0;DCCXVI;0;DCCXXVI;0;0;540;0;D'Arco conte Sigismondo: Racconto fatto a madama Soranza essendo nell'eremo di Rua;cartaceo;1700.0;1800.0;0;22.0;165.0;157.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.3893215871819615;0.5
739;740;m0717_0;0.0;0.0;0;[VII A 28];717;_0;DCCXVII;137;DCCXXVII;0;0;541;0;Raccolta di iscrizioni veronesi;cartaceo;1700.0;1800.0;0;127.0;192.0;145.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.1141816651884735;0.5
